SMILES,rotational_entropy,one_dim_trans_entropy,symmetry
CC[N+]1(CC)CCC[C@@H]2CCCC[C@H]2C1,0.13869077577401076,0.060546274933959886,1.0
CC[N+]1(CC)CCC[C@H]2CCCC[C@H]2C1,0.1381575334062705,0.060546274933959886,1.0
CC[N+]1(CC)CCC[C@@H]2CCCC[C@@H]2C1,0.13822396694224512,0.060546274933959886,1.0
CC[N+]1(CC)CCC[C@H]2CCCC[C@@H]2C1,0.13831248820002334,0.060546274933959886,1.0
C[N+](C)(C)C1CCCCC1,0.12822815899063553,0.05891979701780648,1.0
CC1(C)[C@H]2CC[C@]1(C)[C@H]([N+](C)(C)C)C2,0.1345851551362625,0.06025942736650932,1.0
CC1(C)[C@@H]2CC[C@@]1(C)[C@@H]([N+](C)(C)C)C2,0.13458510361435225,0.06025942736650932,1.0
C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.12850599886046948,0.058919797017806495,1.0
C[C@@H]1C[C@@H](C)C[N+](C)(C)C1,0.12787299027853297,0.058919797017806495,1.0
Cc1n(C)cc[n+]1Cc1ccccc1,0.13577909376774314,0.06006233527533547,1.0
C[N+]1(C)C[C@@H]2[C@H](C1)[C@H]1C=C[C@@H]2[C@H]2[C@H]3C[N+](C)(C)C[C@H]3[C@H]12,0.14455092262601685,0.06165142170205584,1.0
C[N+]1(C)C[C@@H]2[C@@H](C1)[C@H]1[C@@H]2[C@@H]2C=C[C@H]1[C@@H]1C[N+](C)(C)C[C@H]21,0.14414676798659842,0.06165142170205584,1.0
C[N+]1(C)C[C@@H]2[C@H](C1)[C@H]1C=C[C@@H]2[C@@H]2[C@H]1[C@@H]1C[N+](C)(C)C[C@@H]12,0.14351029607947602,0.06165142170205584,1.0
C[N+]1(C)C[C@H]2[C@H]3[C@@H]4C=C[C@@H]([C@H]5C[N+](C)(C)C[C@H]45)[C@H]3[C@H]2C1,0.14391531615510866,0.06165142170205584,1.0
C1CC23CCC[N+]2(C1)CCC3,0.11770984472003959,0.059202063096120354,3.0
C[C@H]1CCC[N@@+]12CCCC(C)(C)C2,0.13369129787648448,0.059951310798306144,1.0
C[C@@H]1CCC[N@+]12CCCC(C)(C)C2,0.13369112670953986,0.059951310798306144,1.0
C[C@H]1CCC[N@+]12CCCC(C)(C)C2,0.13368113799514725,0.059951310798306144,1.0
C[C@@H]1CCC[N@@+]12CCCC(C)(C)C2,0.13368105870590458,0.059951310798306144,1.0
CC1CCC[N@@+]12CCCC(C)(C)C2,0.13369117834711436,0.059951310798306144,1.0
CC[N+]1(C)C2CCCC1CCC2,0.13033718955505716,0.05961851673167251,1.0
CC[N@+]1(C)[C@H]2CCC[C@@H]1CCC2,0.13033727756234073,0.05961851673167251,1.0
C1CC[N+]2(CC1)CCCCC2,0.12333682174554211,0.05925674538373383,2.0
CC(C)CNCCCNCC(C)C,0.13480092222261503,0.060041794375726654,2.0
C1CCC[N+]2(CC1)CCCCC2,0.13178859536288326,0.05961851673167251,1.0
CC[N+]1(C2CCCCCCC2)CCCC1,0.13832443892502205,0.060546274933959886,1.0
C1CN(N2CCNCC2)CCN1,0.126869269281958,0.05966655276200363,2.0
CCCCCCCC[N+](C)(C)C,0.13834391503417895,0.05971693582677686,1.0
CC[N+]1(CC)C[C@H](C)C[C@@H](C)C1,0.12776564952648406,0.059668017521487926,2.0
CC[N+]1(CC)C[C@@H](C)C[C@@H](C)C1,0.13341758932802084,0.059668017521487926,1.0
CC[N+]1(CC)C[C@@H](C)C[C@H](C)C1,0.12776573362132296,0.059668017521487926,2.0
CC(C)C[N+]1(C)CCCC1,0.12860774976989592,0.058919797017806495,1.0
Cn1cc[n+](C)c1,0.11111927092853481,0.05733366764163126,2.0
CC[C@H](N)CCCN,0.12546510518745654,0.05807871901168971,1.0
CC[C@@H](N)CCCN,0.12546531744480277,0.05807871901168971,1.0
C[C@@H]1CCC[N+]12CCC1(CC2)OCCO1,0.13706924053393335,0.06058419892657829,1.0
C[C@H]1CCC[N+]12CCC1(CC2)OCCO1,0.13706915150266347,0.06058419892657829,1.0
CCCC[N+]1(C)CCCCCC1,0.12903546763374316,0.059668017521487926,2.0
C[C@@H]1CNC[C@H](C)C1,0.12267964706194762,0.05796984033702058,1.0
C[C@@H]1C[NH2+]C[C@@H](C)C1,0.12221984536606377,0.058006693652484315,1.0
C[C@@H]1C[NH2+]C[C@H](C)C1,0.12291254715857546,0.058006693652484315,1.0
C[C@H]1CNC[C@H](C)C1,0.12200581575938421,0.05796984033702058,1.0
CCC[C@@H](C)N,0.11782089740734941,0.05688323499815936,1.0
CCC[C@H](C)N,0.11778083973278965,0.05688323499815936,1.0
CC[N+]1(CC)CCCC(C)(C)C1,0.132523364963135,0.059668017521487926,1.0
C1CN2CCN1CC2,0.10340540629627622,0.05793191626550415,6.0
NCCN1CCNCC1,0.12590535051850477,0.058519527231565366,1.0
C[C@H]1C[C@@H](C)C[N+]2(CCC[C@H]2C)C1,0.13460914417936914,0.059951310798306144,1.0
C[C@H]1C[C@@H](C)C[N+]2(CCC[C@@H]2C)C1,0.13460913146965955,0.059951310798306144,1.0
C[C@@H]1C[C@@H](C)C[N+]2(CCC[C@H]2C)C1,0.13405546044864014,0.059951310798306144,1.0
C[C@H]1C[C@@H](C)C[N@@+]2(CCC[C@@H]2C)C1,0.13433366558338602,0.059951310798306144,1.0
C[C@H]1C[C@@H](C)C[N@+]2(CCC[C@@H]2C)C1,0.13460915371762952,0.059951310798306144,1.0
C[C@H]1C[C@H](C)C[N+]2(CCC[C@H]2C)C1,0.13409618733441575,0.059951310798306144,1.0
C[C@H]1C[C@H](C)C[N+]2(CCC[C@@H]2C)C1,0.13405548179605686,0.059951310798306144,1.0
C[C@H]1CCC[N+]12C[C@H](C)C[C@@H](C)C2,0.13409611303804778,0.059951310798306144,1.0
C[C@H]1C[C@@H](C)C[N@@+]2(CCC[C@H]2C)C1,0.1342528242375838,0.059951310798306144,1.0
C[C@H]1C[C@@H](C)C[N@+]2(CCC[C@H]2C)C1,0.13447768187319964,0.059951310798306144,1.0
CCCCn1cc[n+](C)c1,0.12949036393125468,0.058829881241611925,1.0
C[N+]1(C)C[C@]23CCCC[C@@]2(C1)[C@@H]1C=C[C@H]3C1,0.13606505046179682,0.06070102459055798,1.0
C[N+]1(C)C[C@]23CCCC[C@@]2(C1)[C@H]1C=C[C@@H]3C1,0.13623107168840248,0.06070102459055798,1.0
CC[n+]1ccn(C)c1C,0.12458734124493383,0.058388394648693144,1.0
C1CC[N+]2(CC1)CCC[C@@H]1CCCC[C@@H]12,0.13687476673641683,0.06050624645206155,1.0
C1CC[N+]2(CC1)CCC[C@H]1CCCC[C@@H]12,0.1373675274570801,0.06050624645206155,1.0
C1CC[N+]2(CC1)CCC[C@@H]1CCCC[C@H]12,0.1373675489073977,0.06050624645206155,1.0
C1CC[N+]2(CC1)CCC[C@H]1CCCC[C@H]12,0.13708066742590963,0.06050624645206155,1.0
c1c[n+](C2CCCC2)cn1C1CCCC1,0.1389045587893458,0.06044506673432998,1.0
N[C@@H]1CCCN1,0.11307814590049246,0.0568339149119872,1.0
N[C@H]1CCCN1,0.1130778549828384,0.0568339149119872,1.0
CCCCCNCCCCC,0.13464887477890375,0.059337443397094285,1.0
N[C@@H]1C[C@H]2CC[C@@H]1C2,0.11940373855712177,0.0578951388841041,1.0
CC(C)[N+]1(C)C[C@@H](C)C[C@@H](C)C1,0.13296443502731553,0.059668017521487926,1.0
CC(C)[N@+]1(C)C[C@@H](C)C[C@@H](C)C1,0.13313532695291228,0.059668017521487926,1.0
CC(C)[N+]1(C)C[C@H](C)C[C@@H](C)C1,0.1329514737361563,0.059668017521487926,1.0
CC(C)[N+]1(C)C[C@@H](C)C[C@H](C)C1,0.13295157989914416,0.059668017521487926,1.0
CC(C)[N@@+]1(C)C[C@@H](C)C[C@@H](C)C1,0.13331200767885748,0.059668017521487926,1.0
CC[N@@+]12CCCC[C@H]1C[C@@H]1C[C@H]2C[C@@H]2CCCCN21,0.14246090486639146,0.06148132200094667,1.0
CC[N+]12CCCCC1C[C@@H]1C[C@H]2CC2CCCCN21,0.14270304042556933,0.06148132200094667,1.0
