sisso_model,dectree_rank,logistic_rank,average_rank
sisso_00726,32877,43954,38415.5
sisso_00727,35101,33370,34235.5
sisso_00728,5261,49179,27220.0
sisso_00729,49063,14075,31569.0
sisso_00730,48522,6532,27527.0
sisso_00731,29392,40294,34843.0
sisso_00732,5718,43760,24739.0
sisso_00733,4722,40067,22394.5
sisso_00734,39631,31492,35561.5
sisso_00735,19040,4813,11926.5
sisso_00736,10994,48297,29645.5
sisso_00737,24947,1363,13155.0
sisso_00738,14959,29373,22166.0
sisso_00739,4325,22398,13361.5
sisso_00740,39632,47326,43479.0
sisso_00741,30346,13322,21834.0
sisso_00742,38001,48012,43006.5
sisso_00743,31352,48298,39825.0
sisso_00744,25296,6067,15681.5
sisso_00745,43247,13900,28573.5
sisso_00746,46250,13705,29977.5
sisso_00747,45380,8667,27023.5
sisso_00748,11217,9329,10273.0
sisso_00749,34077,47875,40976.0
sisso_00750,31559,25941,28750.0
sisso_00751,37726,27111,32418.5
sisso_00752,7864,18050,12957.0
sisso_00753,3039,23557,13298.0
sisso_00754,5560,16503,11031.5
sisso_00755,33821,16721,25271.0
sisso_00756,19555,26520,23037.5
sisso_00757,21719,33680,27699.5
sisso_00758,1880,39212,20546.0
sisso_00759,35352,1343,18347.5
sisso_00760,43929,44350,44139.5
sisso_00761,31788,41402,36595.0
sisso_00762,40420,14686,27553.0
sisso_00763,18291,13323,15807.0
sisso_00764,45069,46564,45816.5
sisso_00765,20513,3950,12231.5
sisso_00766,42329,48336,45332.5
sisso_00767,27617,29120,28368.5
sisso_00768,22524,1186,11855.0
sisso_00769,32878,33138,33008.0
sisso_00770,37156,9500,23328.0
