job,crystal_id,framework,stoichiometry,energies,Si_count,formation_E
35296674,59490900,MAR,O144Si72,-63.485932514670296,72,12.387411361762744
35296714,59490956,RWY,O96Si48,-41.55045872337319,48,54.6960500005305
35296690,59490925,NON,O176Si88,-77.60397280396634,88,12.087409594733915
35296744,59490995,SZR,O72Si36,-31.762299067294688,36,10.977458683559032
35296623,59490830,DOH,O68Si34,-29.973976234348726,34,12.811498955639768
35296747,59491014,TON,O48Si24,-21.17660204273524,24,10.787547735207397
78516495,203995251,PTO,O96Si48,-42.36416368757879,48,10.188080286722247
35296595,59490787,AFY,O32Si16,-14.062876476876308,16,19.789439176903944
78516484,59491191,WEI,O40Si20,-17.574448352424376,20,20.333868631288063
35296612,59490812,BSV,O192Si96,-84.30908779365511,96,21.65384700633311
35296721,59490966,SEW,O132Si66,-58.21540294463399,66,11.593205261233999
78516471,59490926,NPO,O12Si6,-5.292618720325916,6,11.45783371704218
35296600,59490797,ATT,O24Si12,-10.581092478837238,12,12.364716889809662
35296713,59490954,RUT,O72Si36,-31.76800633039651,36,10.56122478313446
35323171,59490858,IFT,O308Si152,-133.77936546828525,152,16.64507557149195
35296588,59490780,AFN,O64Si32,-28.206507368859125,32,13.16379127024707
35296622,59490826,DAC,O48Si24,-21.172328944168026,24,11.255006949492342
35296722,59490967,SFE,O28Si14,-12.345517863645133,14,12.194064690005279
78516452,59490794,ATN,O32Si16,-14.11584105194013,16,11.098282775467764
35296692,59490929,OBW,O152Si76,-66.63834923405986,76,25.32765655483407
35296620,59490823,CSV,O40Si20,-17.63294397692252,20,12.654854940338133
35296644,59490856,IFO,O64Si32,-28.232858656867307,32,11.00175027225516
35296611,59490811,BRE,O32Si16,-14.115348665967568,16,11.179080242307661
35296730,59490977,SIV,O128Si64,-56.41908322630694,64,12.914840988945514
35296733,59490981,SOS,O48Si24,-21.03807353206418,24,25.94199075489812
35296608,59490808,BOG,O192Si96,-84.67897706331209,96,11.537760011934717
35296667,59490890,LEV,O108Si54,-47.60564408750378,54,12.815528268615251
35296591,59490783,AFS,O112Si56,-49.34483154318026,56,13.940018169101483
35296707,59490948,RHO,O96Si48,-42.298010431510065,48,13.806525850036705
35323170,59490847,FAU,O384Si192,-169.17753108532585,192,14.004951319295884
35296678,59490904,MEP,O92Si46,-40.576291437164905,46,11.483636980830777
35296719,59490961,SAV,O96Si48,-42.29883237756064,48,13.761567110032697
35296642,59490854,GOO,O64Si32,-28.18011781159142,32,15.328972141630599
